id,tin_type,tin_value
3540484828451510363,ein,611013695
10672571317156562080,ein,822736113
2779653322893325830,ein,611321473
858346235876679800,ein,610985755
15590367277994367627,ein,752014828
10205216295611986294,ein,611355320
2257571380151478362,ein,611385902
15580017049695221071,ein,520795508
8661248275758687046,ein,861454363
150894740944685762,ein,610661458
11751410249454528805,ein,874023099
12970269421281766922,ein,834444033
15688915927684236333,ein,842661667
8685220735747410301,ein,611182673
7269895917619128672,ein,873436572
14565566672226316155,ein,833699720
1905924693376872631,ein,943302014
10672571317156562080,ein,822736113
1721728965840560086,ein,611367115
9515277343137846399,ein,474122714
9935813505770807104,ein,611393058
17758095472476831274,ein,311429790
12963947404483330792,ein,861058746
10672571317156562080,ein,822736113
10672571317156562080,ein,822736113
15477630398988792521,ein,611340888
15096244575410303915,ein,270755457
6970466483007032081,ein,311645431
17641237018633362344,ein,611104130
14860954959291062516,ein,610990338
10672571317156562080,ein,822736113
13507967689284015580,ein,610444716
10672571317156562080,ein,822736113
5477909682866619806,ein,455373432
5289603941144945789,ein,814915648
2320102898654497432,ein,812005539
1755184348638253057,ein,770651881
150894740944685762,ein,610661458
6060576429400702446,ein,922202849
15868443240158283898,ein,920185521
13166164135947038092,ein,203116796
9292425805914952373,ein,842007321
12393911889835424155,ein,465020989
16673757855603598340,ein,611391612
4239163495294146161,ein,811841716
7844572120563470718,ein,880704325
15827889220754405082,ein,872146449
16917161618484779204,ein,610917850
14246978189374184846,ein,611307561
3550923796653118563,ein,611347550
11129372740981590284,ein,800784234
3799296738207366100,ein,611285331
3998212843724832939,ein,863730234
422048610086817107,ein,205350815
3903889550010033616,ein,311299450
12599922088271719494,ein,610938951
2570072774541038039,ein,611052899
7817445541082288795,ein,273012584
17278879169855309482,ein,610458376
13429822801055111155,ein,810551449
11087862636310569169,ein,352183742
3243120873809639234,ein,611177410
10119622094068371385,ein,611171884
16305780340905128114,ein,202558220
13627916901528953838,ein,611069549
14434031364155348753,ein,611161899
1039629848328437796,ein,311507529
5798951144930436013,ein,611209879
10565378717250837769,ein,611311131
16489520113860230766,ein,043704709
8548309286844331267,ein,611225368
11979683553065763226,ein,611277106
10205216295611986294,ein,611355320
16883318373090456088,ein,621538114
10672571317156562080,ein,822736113
4000655464742904175,ein,461507241
10672571317156562080,ein,822736113
7464369729100719299,ein,452651560
13206403836704393077,ein,202305158
4194523952024427166,ein,822095316
7816679430027611956,ein,300231036
9292425805914952373,ein,842007321
10726574964850585609,ein,880767356
3982358964890998994,ein,473924995
14492736485840235308,ein,611071677
9724657615066964294,ein,610420440
5979891683034956553,ein,871640927
11980753724106869564,ein,882879738
8345822349227310113,ein,320032446
8618004641304397081,ein,853654575
12982142761136652174,ein,610445850
14611255645329994662,ein,205039622
6333525389027503267,ein,161708744
10672571317156562080,ein,822736113
8900623921982053168,ein,311411704
15688915927684236333,ein,842661667
15097851102277818504,ein,455430144
10111509266016458170,ein,810877672
12982142761136652174,ein,610445850
12973414072441145528,ein,611300608
1428361127737304386,ein,311405915
7275075972075799618,ein,208547345
396190159506034866,ein,203601776
9134255643229113760,ein,611372070
15688915927684236333,ein,842661667
12386240487138665637,ein,311712029
12269305753719107369,ein,204374111
7756165975590850550,ein,610443527
7012890543894144632,ein,815305240
10672571317156562080,ein,822736113
10672571317156562080,ein,822736113
331984309358792606,ein,823188866
10672571317156562080,ein,822736113
13486176169006001669,ein,453624428
15081731711207196305,ein,311539055
10672571317156562080,ein,822736113
1732549811763072822,ein,201720760
16672720839312247764,ein,203832191
764887691295699528,ein,611383719
11979683553065763226,ein,611277106
9450920300228830885,ein,451447370
11225767054905661379,ein,611389364
8111796080020959968,ein,611366775
15723096522327673161,ein,611281328
6923908749236737659,ein,461201186
7539550672311481059,ein,843046513
13796132138925352298,ein,611130540
10672571317156562080,ein,822736113
4542657917602968803,ein,208272971
12348063962982189886,ein,611284410
10810072177749064316,ein,550650197
11791261727992804013,ein,611333062
1176394296840691147,ein,610719599
1789171987296655675,ein,611385192
1666324993867549987,ein,205924246
6043394425446649987,ein,611201265
4492177091431783085,ein,822261331
7416261414871156828,ein,274077906
14061801099611247016,ein,610658773
6386558571814139812,ein,832925518
7870061488348202556,ein,311566755
15850072831947222847,ein,454524714
10048728976297167786,ein,463588862
5485155387401659410,ein,823736630
14187600009302267198,ein,611273927
12502767105738143922,ein,611061893
15845610109655666775,ein,611193504
16201292054147872166,ein,201173606
1132648370510648762,ein,611299938
1201613216053036722,ein,611258167
10405950548889068327,ein,205838422
16650355657568151420,ein,550667743
17670483014040129993,ein,611387063
6357256727695667368,ein,610981770
2396588774921547778,ein,208926936
14378014471902213538,ein,611231635
2250590306550476883,ein,843403804
16041535862276158777,ein,611393689
129688354661974644,ein,610993809
9259717151475947604,ein,352542550
6204272127240146619,ein,300020345
4283820505139043876,ein,203514363
13768448342846077322,ein,261889289
9140426182404589614,ein,611353357
18002797890941077808,ein,474975361
15619964582981946228,ein,611273609
13557096500860720382,ein,474085712
650921516659913130,ein,611359500
5091755451674611026,ein,611390202
6347406602141533101,ein,272535628
15892704746081468738,ein,200614612
12111701267162161593,ein,471907359
9793228402755214809,ein,822913659
10926241781397907107,ein,463963059
8758351438628185368,ein,610944002
11384261015799086093,ein,364918117
4008817497475530664,ein,611033691
11638583953812526894,ein,800384845
12238624695322347216,ein,610862179
2957463251623325700,ein,203751184
420371763544304318,ein,610444788
4785158771161000509,ein,610977405
17511530259416069635,ein,850543238
7307076642531462323,ein,464229370
16323475909799238401,ein,371420980
17440038447144233101,ein,453212310
4148825082730943204,ein,611010545
8969325605644664714,ein,823649694
5757200158357481625,ein,611169814
10672571317156562080,ein,822736113
18387798069379504967,ein,611334601
12871397829193555540,ein,610605336
1992378906726287468,ein,311007881
12722679827041202961,ein,421760489
12321566746345300062,ein,311520101
3440262649003867337,ein,611355382
